Geneid	B032-1	B032-2	B032-4	B032-6	OM5011-1	OM5011-2	OM5011-4	OM5011-6	OM5334-1	OM5334-2	OM5334-4	OM5334-6
VWA1	29	6	17	0	2	3	3	9	6	6	0	0
ATAD3C	172	165	147	158	27	24	25	40	234	172	123	167
ATAD3B	966	1493	1620	1380	1093	1032	1215	1513	1501	1130	1159	1180
RP5-832C2.8	9	12	10	4	2	8	10	10	19	40	11	7
ATAD3A	498	739	622	756	579	514	490	1143	478	310	487	690
TMEM240	8	3	8	5	21	20	26	3	28	14	19	1
SSU72	14528	17325	14288	11483	12191	11379	12343	13762	13206	14301	11309	9320
RP5-832C2.5	27	34	47	52	42	68	79	95	80	101	75	50
RP11-345P4.11	0	0	0	0	0	0	0	0	0	0	0	0
C1orf233	81	144	141	57	201	223	206	217	335	386	314	187
RP11-345P4.9	214	470	229	305	381	346	403	377	892	782	676	384
MIB2	2428	3485	3206	2587	2497	2750	3297	3024	3413	3338	3353	2054
MMP23B	3	6	3	0	1	2	2	0	0	0	1	0
CDK11B	1415	1868	1575	1660	1272	1416	1431	1711	1745	1761	1587	1351
RP11-345P4.10	4	10	2	3	3	5	5	8	0	1	1	3
SLC35E2B	1103	1456	1283	885	1403	1266	1542	1281	1851	2225	1942	1051
RP11-345P4.6	8	29	33	1	3	19	8	8	14	13	15	12
MMP23A	0	0	0	0	0	0	0	0	0	0	0	0
CDK11A	407	589	645	496	255	214	265	208	601	571	509	404
RP1-283E3.8	103	135	113	119	35	35	44	41	117	96	86	53
RP1-283E3.4	5	17	31	9	21	5	25	7	27	22	25	13
SLC35E2	689	953	928	595	918	694	852	817	1010	1181	945	617
NADK	601	900	632	1266	476	677	533	851	482	488	303	521
GNB1	7300	9157	7504	8492	9243	8180	8216	10640	7587	8043	6069	5944
RP1-140A9.1	17	1	8	7	32	15	52	51	44	83	69	48
CALML6	0	0	0	0	0	2	1	0	0	9	2	0
TMEM52	11	25	7	13	2	13	20	44	16	23	17	44
CFAP74	1	1	0	2	3	0	2	0	0	2	1	3
RP11-547D24.1	0	0	1	0	0	0	0	0	0	0	0	0
GABRD	3	1	1	0	0	1	2	1	3	0	0	0
RP11-547D24.3	0	0	0	0	0	4	1	0	0	0	0	0
PRKCZ	332	266	216	242	217	299	316	344	329	317	237	210
RP5-892K4.1	0	0	6	1	11	0	0	1	9	2	8	0
RP11-181G12.2	41	93	54	21	65	64	98	31	132	73	58	83
FAAP20	2223	2840	2268	2470	3479	2874	3134	4346	3572	3524	3089	2780
RP11-181G12.4	0	0	0	0	0	0	0	0	0	0	0	0
SKI	783	1048	782	779	951	788	880	929	1300	1119	1122	748
MORN1	75	133	143	61	99	106	108	141	184	170	179	116
RP4-713A8.1	3	0	1	0	3	0	0	5	2	8	1	6
RP4-740C4.5	12	24	17	14	42	17	7	21	44	30	9	36
RP4-740C4.7	11	28	16	20	9	3	8	22	36	17	43	11
RER1	4994	6044	5186	5036	4944	4681	5088	5568	4465	4272	4033	3642
PEX10	149	155	187	160	251	120	156	268	522	349	310	308
PLCH2	513	873	686	350	519	470	738	360	354	318	455	170
RP3-395M20.2	2	2	1	1	6	0	2	0	9	13	5	1
RP3-395M20.3	1	2	1	0	4	2	1	2	3	10	6	0
PANK4	1451	1852	1486	1464	1958	1853	1841	1700	1719	1991	1668	1207
HES5	0	0	0	1	1	4	4	4	0	0	0	0
RP3-395M20.12	528	846	630	471	1261	1011	1010	1070	1166	1180	950	696
RP3-395M20.8	136	218	222	120	177	177	301	87	197	183	131	51
TNFRSF14	6439	8271	7493	7287	9288	9240	11469	9987	8952	9469	9012	8027
RP3-395M20.7	20	10	18	4	25	16	39	14	21	28	14	4
RP3-395M20.9	529	696	640	320	617	512	719	430	429	520	422	322
FAM213B	878	1239	862	623	1406	1359	1545	1048	1547	1357	1200	633
MMEL1	30	45	43	18	37	13	24	9	52	35	34	17
RP13-436F16.1	0	0	0	0	0	0	0	0	0	0	0	0
TTC34	76	75	92	56	235	165	292	134	476	324	280	215
ABC14-1188822O7.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-740P5.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-740P5.3	0	0	0	0	0	0	0	0	0	0	0	0
RP5-907A6.1	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0
RP1-163G9.1	0	2	0	0	0	0	0	0	0	0	0	0
PRDM16	19	17	8	5	1	6	9	4	0	9	0	44
MIR4251	0	0	0	0	0	0	0	0	0	0	0	0
RP1-163G9.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-193J6.1	0	14	0	0	0	0	0	0	0	0	0	6
RP11-22L13.1	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF16	3	7	2	1	1	0	4	0	1	0	0	2
RP11-168F9.2	0	0	0	1	0	0	4	0	4	0	4	3
MEGF6	743	983	1380	874	866	938	1335	825	2077	1666	2108	1036
MIR551A	0	0	0	0	0	0	0	0	0	0	0	0
RP11-46F15.2	10	28	16	3	10	9	19	11	118	34	103	4
TPRG1L	3015	4020	2969	2748	3998	4032	3711	4161	4884	5628	4425	2589
WRAP73	1580	2352	1899	2455	1916	1801	2274	2704	2694	2572	2151	2004
TP73	65	54	31	40	56	31	34	8	113	43	63	29
RP5-1092A11.5	0	0	4	0	0	0	0	0	0	0	0	0
RP5-1092A11.2	0	0	0	0	0	0	0	0	0	0	0	0
TP73-AS1	453	640	566	592	623	541	657	698	970	1096	981	701
RF02197	0	0	0	0	0	0	0	0	0	0	0	0
CCDC27	2	1	1	1	1	0	1	4	1	3	3	3
SMIM1	36	81	55	96	99	75	86	173	64	115	98	72
LRRC47	2418	3302	2353	2150	2899	2820	2984	3372	3163	3408	2802	2098
RN7SL574P	1	8	15	8	7	8	20	4	19	38	16	16
RP1-286D6.5	9	16	4	3	27	12	20	20	28	14	21	14
CEP104	1280	1763	1562	1614	1275	1011	1160	1365	1068	1151	1212	1034
DFFB	349	511	451	348	509	423	460	520	440	625	491	291
C1orf174	1877	2326	1782	1713	1913	2031	2408	2052	2410	2880	2287	1566
RP13-15E13.1	7	0	1	2	7	8	3	0	10	1	1	5
RP13-614K11.1	0	0	0	0	0	0	0	1	0	0	0	0
RP13-614K11.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-718D19.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-718D19.2	2	2	11	1	4	1	7	3	4	1	7	1
RP11-374C13.1	14	15	6	3	9	3	15	12	12	13	10	7
RP5-1166F10.1	0	0	0	0	0	0	0	0	0	0	0	0
RP5-1166F10.2	0	0	0	0	0	0	0	2	0	0	0	0
RP1-37J18.1	0	0	0	0	0	0	0	0	0	0	0	0
RP1-37J18.2	0	0	0	0	0	0	0	0	1	0	0	0
AJAP1	0	0	0	0	42	23	61	24	149	119	110	36
RP4-603B14.2	0	0	0	0	0	0	0	0	0	0	0	0
RP4-603B14.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-542C10.1	0	0	0	1	0	0	0	0	2	0	1	0
RP4-703E10.1	0	0	0	0	0	0	0	0	0	0	0	0
RP1-58B11.2	0	0	0	0	0	0	0	0	0	2	0	0
RP1-58B11.3	1	0	0	0	0	0	0	0	0	0	0	0
RP1-58B11.1	0	0	0	0	0	0	0	0	0	0	5	0
RP3-491M17.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-154H17.1	78	55	66	17	18	23	11	17	77	20	34	13
MIR4417	0	0	0	0	0	0	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0	0	0	0	0	1	0
NPHP4	304	508	527	208	402	508	480	311	562	630	465	215
KCNAB2	7822	10356	8621	4030	9605	7799	10105	6181	9660	9588	9178	3845
CHD5	11	37	18	7	5	18	10	6	5	8	5	5
RPL22	5741	7337	5457	4701	9240	6144	6370	8696	11422	10172	9712	6661
RP1-120G22.11	0	2	7	15	5	7	1	3	5	3	1	1
RNF207	88	185	111	142	71	100	180	107	56	44	96	55
ICMT	936	1163	852	1385	805	740	704	1364	787	710	520	801
LINC00337	2	7	4	8	7	4	6	18	17	1	1	11
HES3	0	0	0	0	0	0	0	0	0	0	0	0
GPR153	138	191	201	145	137	179	108	114	15	35	48	25
ACOT7	279	406	390	685	452	417	437	910	235	164	180	1150
RP1-202O8.3	0	0	0	0	0	0	0	0	0	0	0	0
HES2	0	3	2	0	0	1	0	0	2	0	0	0
ESPN	50	84	63	57	74	114	122	96	175	128	131	67
MIR4252	0	0	0	0	0	0	0	0	0	0	0	0
RP1-202O8.2	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF25	4537	7062	7405	6702	6052	6777	8963	7338	8620	7516	8638	8009
PLEKHG5	66	110	106	108	137	122	131	250	207	228	190	145
NOL9	538	1080	871	851	901	894	848	963	1826	1457	1640	1023
RNU6-731P	0	0	1	1	3	0	2	1	1	0	5	0
RP11-58A11.2	41	61	24	40	48	46	57	46	64	49	52	26
TAS1R1	0	0	0	0	0	0	0	1	0	0	1	5
ZBTB48	969	1432	1232	899	1117	1370	1542	1104	1725	1996	1760	1150
KLHL21	3150	3981	3293	2195	2733	3038	3289	2658	4515	5948	3718	2148
PHF13	561	754	611	521	628	719	669	793	780	750	658	512
THAP3	1736	1897	1578	1233	1698	1659	1860	1979	1980	1701	1437	909
DNAJC11	337	438	427	378	300	388	359	428	747	379	430	436
RP11-242F24.1	0	0	0	0	0	0	0	0	0	1	1	0
RP11-242F24.2	0	2	0	1	1	1	1	0	0	3	0	1
RP11-312B8.1	18	28	16	17	32	21	20	21	94	102	69	46
CAMTA1	2909	3567	2521	2783	3036	2807	2837	3538	2822	3191	2553	1759
RP11-312B8.2	0	1	1	1	0	3	1	1	8	0	3	1
RP11-334N17.1	0	0	0	0	0	0	0	0	0	0	0	0
RNU1-8P	0	0	0	0	0	0	1	0	0	0	0	0
RP3-453P22.1	4	1	1	0	4	0	1	1	0	0	4	0
RP3-453P22.2	0	0	0	0	0	1	0	0	0	0	0	0
RP4-549F15.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-338N10.1	0	8	0	0	0	0	0	0	0	0	0	0
RP11-338N10.2	0	0	4	0	0	1	0	0	0	0	0	0
RP11-338N10.3	3	0	5	0	0	0	0	3	2	9	0	0
VAMP3	1618	1808	1530	1622	1671	1526	1523	1754	1819	2134	1920	1354
RP3-467L1.6	0	5	6	0	2	3	13	5	0	2	7	2
PER3	179	273	200	196	172	132	133	206	259	235	181	251
RP3-467L1.4	2	14	0	3	4	4	0	10	2	15	4	7
UTS2	127	162	144	88	117	42	42	77	31	6	9	13
TNFRSF9	406	663	389	1000	415	363	257	674	158	194	91	283
RP5-892F13.2	0	0	0	0	0	0	0	0	0	0	0	0
PARK7	10592	13447	10324	11079	8898	7681	7257	11883	7922	8189	8107	8757
RF00019	717	1287	863	709	834	976	1176	707	1176	1027	1014	729
CTA-215D11.6	30	34	44	32	12	35	32	46	28	37	21	24
CTA-215D11.5	2	5	0	2	2	0	2	4	7	5	0	0
ERRFI1	42	60	17	41	52	88	52	70	45	45	23	39
RP11-431K24.1	3	11	1	1	0	1	6	1	0	4	0	0
CTA-215D11.4	0	3	6	4	1	4	1	4	9	3	3	5
RP11-431K24.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-431K24.3	0	0	0	0	0	2	0	0	0	0	0	0
RNU1-7P	1	0	0	0	0	0	0	0	0	0	0	0
RP11-431K24.4	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-991P	0	0	0	0	0	0	0	0	0	0	0	0
SLC45A1	20	25	3	29	46	39	25	102	35	107	66	53
RERE	2021	2815	2434	2090	2453	2211	2795	1666	4260	3676	3447	2230
RP5-1115A15.1	49	96	87	67	39	53	88	65	53	68	49	92
RF00599	4	5	1	3	0	0	0	0	6	0	9	0
RP5-1115A15.2	0	0	0	0	0	1	0	0	0	0	0	0
RP4-633I8.1	22	16	15	17	38	17	29	20	40	29	33	25
RP4-633I8.2	5	9	10	13	19	14	14	16	22	15	16	10
RP4-633I8.3	1	0	1	0	2	0	0	0	6	8	3	1
RP4-633I8.4	0	1	5	4	0	6	2	0	3	0	7	2
RP11-185B14.1	9	12	7	4	9	6	5	8	7	14	7	5
ENO1	211251	255850	195285	43590	250878	217858	268967	75672	201207	242119	182888	59740
MIR6728	3	5	4	2	0	8	0	0	0	0	1	0
RP3-477M7.3	146	230	179	127	149	134	180	236	331	437	357	382
RNU6-304P	0	0	0	0	1	0	2	0	3	0	0	1
RP3-477M7.4	27	26	14	13	13	17	27	33	39	30	28	29
RP3-477M7.5	1	3	2	1	28	48	54	43	19	28	16	24
RP3-477M7.6	0	0	0	0	0	2	0	0	0	0	0	0
CA6	110	135	142	31	672	484	726	160	708	762	828	237
RN7SL451P	0	1	1	0	1	0	0	1	0	0	1	0
SLC2A7	0	0	0	0	2	0	5	0	7	12	0	0
SLC2A5	222	234	265	142	99	51	15	30	2	15	24	25
RF00424	0	0	0	0	0	0	0	0	1	0	0	0
GPR157	176	190	169	156	218	147	197	296	296	252	237	235
MIR34AHG	26	54	59	27	20	22	12	9	0	0	7	0
MIR34A	0	0	0	0	0	0	0	0	0	0	0	0
RP3-510D11.2	7	33	24	18	0	2	3	10	0	7	10	5
H6PD	757	960	801	612	1153	923	1012	986	1646	1844	1519	1275
SPSB1	348	514	405	666	132	180	198	351	198	223	152	522
CTD-2510L9.2	0	0	0	0	0	0	0	0	0	0	0	1
CTD-2510L9.1	5	0	0	1	0	6	1	0	0	10	0	6
RNA5SP40	0	0	0	0	0	0	0	0	0	0	0	0
RP13-392I16.1	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A33	269	345	352	471	223	280	259	550	526	500	336	434
RP13-15M17.1	127	154	117	98	234	144	146	234	211	196	183	138
TMEM201	313	507	263	348	268	284	301	478	286	199	219	228
PIK3CD	5551	7911	6957	6471	8271	8661	9273	9623	13272	12633	10617	7832
C1orf200	49	139	87	33	134	132	116	69	211	92	118	62
RP11-558F24.2	3	5	12	3	9	7	9	5	7	4	9	3
RP11-558F24.4	60	44	53	25	44	37	42	15	63	40	64	40
CLSTN1	3413	4499	3913	3806	4688	4630	4717	4862	5109	5289	4791	3424
RP11-558F24.6	0	3	0	0	0	0	2	0	0	0	1	0
RP11-84A14.7	0	5	2	0	0	0	2	0	0	0	1	0
CTNNBIP1	337	311	266	248	291	294	347	501	295	344	328	261
RP11-84A14.5	0	0	0	0	0	0	0	0	0	0	0	0
LZIC	1011	1400	1071	971	1077	999	920	1222	1034	1229	983	888
RP11-84A14.4	31	42	39	45	41	50	29	38	46	61	43	32
NMNAT1	211	312	189	209	241	242	285	257	296	198	230	165
RN7SKP269	3	10	9	1	3	6	9	3	5	3	4	5
RP11-84A14.6	0	0	1	1	0	1	0	0	0	2	0	2
MIR5697	0	0	0	0	0	0	0	0	0	0	0	0
RP11-807G9.2	0	0	0	0	0	0	0	0	0	0	0	0
RBP7	0	0	0	2	8	0	0	0	0	0	0	0
UBE4B	1002	1477	1227	972	1103	1119	858	1178	1001	1244	1024	590
RP11-496H15.2	1	0	1	2	2	1	3	1	4	0	6	1
RP11-496H15.3	0	0	4	0	0	0	5	0	1	0	0	0
RNU6-828P	0	0	0	1	0	0	0	0	0	0	0	0
KIF1B	535	786	608	1071	623	706	542	894	493	626	365	467
MIR1273D	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-37P	4	7	6	10	3	1	4	6	5	3	8	3
RN7SL731P	0	0	0	0	0	0	0	0	0	0	0	0
RP4-736L20.4	22	31	17	24	7	17	20	30	22	29	10	5
RP4-736L20.5	12	6	6	10	6	5	4	7	16	16	8	19
PGD	855	1390	922	1470	1296	1404	1042	2343	1285	1863	1239	1463
RP4-736L20.3	0	0	1	0	1	0	0	0	0	4	1	0
APITD1-CORT	1	3	2	3	2	6	5	2	1	0	5	6
CENPS	73	84	54	87	51	58	31	116	100	130	99	94
CORT	4	8	2	9	2	4	28	5	21	5	11	8
DFFA	926	1483	1054	1531	1472	1306	1289	1987	1801	1798	1214	1305
RP5-1113E3.3	0	0	0	0	0	0	0	0	0	0	0	0
PEX14	439	483	365	361	513	461	451	553	706	635	650	441
RN7SL614P	0	0	0	0	0	0	6	2	3	6	1	0
CASZ1	166	250	263	506	206	353	259	419	218	218	155	367
RP4-734G22.3	0	12	9	10	6	3	8	15	0	13	5	13
RP11-340B24.3	0	0	0	0	0	0	0	0	0	0	0	0
C1orf127	0	0	0	0	0	0	0	0	0	0	0	2
CFLP6	10	3	5	6	3	8	4	7	7	6	9	5
TARDBP	1362	1851	1803	1525	1545	1801	1955	1591	2465	2637	2365	1638
RP4-635E18.9	4	2	6	1	11	0	9	2	8	5	4	5
MASP2	24	54	40	30	10	27	40	26	71	27	61	22
RP4-635E18.8	93	159	152	89	147	129	176	75	211	188	251	127
SRM	2530	3073	2197	3083	2326	2499	2137	6898	3830	3116	2358	5078
EXOSC10	1508	2190	1988	2066	1742	1904	2258	1983	2448	2338	2223	2032
RP4-635E18.7	6	3	4	3	6	16	7	0	16	24	17	6
RP4-635E18.6	11	7	6	3	3	2	2	8	1	5	4	2
MTOR	1226	1833	1729	1639	1115	980	1268	1601	1351	1071	1156	1234
RP11-99P18.1	4	0	5	4	1	0	3	1	13	13	1	2
RNU6-537P	0	0	0	0	0	0	0	0	0	0	0	0
ANGPTL7	1	0	3	0	0	0	0	0	4	0	1	2
RNU6-291P	0	0	0	0	0	0	0	0	0	0	0	0
RP4-647M16.1	4	4	3	2	3	1	3	8	4	4	3	0
UBIAD1	2162	2600	2087	2569	2177	2045	2175	2977	2987	3128	2878	2369
RP4-796F18.2	3	21	12	8	16	7	5	8	4	13	7	2
RP4-796F18.3	0	1	0	0	0	0	0	0	0	0	0	0
RP11-149P14.1	0	0	0	0	0	0	0	0	0	0	0	0
DISP3	2	3	5	1	0	7	0	11	17	20	6	17
RP1-69M21.2	0	0	0	0	0	0	0	0	0	0	0	0
RP3-330O12.5	1	0	1	0	0	3	0	0	2	0	2	1
FBXO2	182	260	274	621	737	694	619	1313	485	685	398	614
FBXO44	1113	1686	1791	1635	1902	1781	2370	1995	1765	1748	2082	1495
FBXO6	1006	1244	1052	3247	960	1816	1788	2634	702	974	586	3027
MAD2L2	2729	3389	3034	3791	3179	2718	2845	4275	2674	2783	2326	2640
DRAXIN	6	1	7	2	20	27	3	4	26	0	12	29
AGTRAP	1407	1623	1174	1538	1962	1678	1638	2346	1679	1833	1664	1713
C1orf167	1	3	0	0	6	4	1	0	3	0	1	5
RP11-56N19.5	0	0	0	0	0	0	0	0	0	0	0	0
MTHFR	793	949	884	744	1049	1061	1003	1194	1549	1251	1208	1007
CLCN6	226	312	306	280	320	444	483	432	527	564	627	454
NPPA-AS1	8	23	23	31	13	8	9	8	13	23	33	21
RF02156	0	0	0	0	0	0	0	0	0	0	0	0
RF02157	0	0	0	0	0	0	0	0	0	0	0	0
NPPA	6	2	12	1	0	0	0	4	12	1	3	3
RF02158	0	0	0	0	0	0	0	0	0	0	0	0
NPPB	0	1	0	0	2	0	0	0	4	0	2	1
RP5-934G17.6	3	6	6	3	1	2	14	4	2	6	4	3
RNU5E-1	3	13	4	7	6	10	8	4	2	1	1	1
RNU5E-4P	0	1	0	0	1	0	0	2	0	1	0	4
KIAA2013	2247	2789	2216	1882	2007	2349	2251	3135	3428	3338	2564	2028
PLOD1	325	316	285	228	512	355	391	353	223	98	127	89
MFN2	1319	1987	1542	1740	1633	1592	1746	1876	2250	2377	1655	1511
RP5-1077B9.5	0	2	1	3	0	1	0	0	1	1	0	0
MIIP	2926	3918	3295	4620	2180	2085	2563	4241	2434	2044	2152	2522
MIR6729	0	0	0	0	0	0	0	0	0	0	0	0
RN7SL649P	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF8	54	73	70	89	12	4	10	41	39	0	18	20
RNU6-777P	0	0	0	0	0	0	0	0	0	0	0	0
RP11-426M1.2	1	0	0	2	1	5	4	3	0	1	2	0
MIR7846	0	0	0	0	0	1	0	0	0	0	0	0
